FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
2025-SNS-0001,SNS,A69-2801-201219,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,73,88,cm,,g,1,0,1,UNK,54,36,41,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0002,SNS,A69-2801-201218,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,68,82,cm,,g,1,0,1,UNK,57,38,46,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0003,SNS,A69-2801-201216,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,65,76,cm,,g,1,0,1,UNK,51,40,47,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0004,SNS,A69-2801-201221,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,75,86,cm,,g,1,0,1,UNK,59,46,54,,,,,,,,,,,,NA,NA,Kennebec,"NO RIGHT PEC"
2025-SNS-0005,SNS,A69-2801-201220,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,65,77,cm,,g,1,0,1,UNK,50,36,43,,,,,,,,,,,,NA,NA,Kennebec,"WOUND L"
2025-SNS-0006,SNS,A69-2801-201129,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,74,84,cm,,g,1,0,1,UNK,57,44,55,,,,,,,,,,,,NA,NA,Kennebec,"CAUDAL DEFORMITY"
2025-SNS-0007,SNS,A69-2801-201223,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,65,76,cm,,g,1,0,1,UNK,49,37,46,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0008,SNS,A69-2801-201222,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,70,82,cm,,g,1,0,1,UNK,52,44,51,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0009,SNS,A69-2801-201217,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,68,82,cm,,g,1,0,1,UNK,51,44,52,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0010,SNS,A69-2801-201214,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,58,70,cm,,g,1,0,1,UNK,51,35,43,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0011,SNS,A69-2801-201213,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,59,69,cm,,g,1,0,1,UNK,47,36,42,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0012,SNS,A69-2801-201225,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,63,75,cm,,g,1,0,1,UNK,46,35,43,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0013,SNS,A69-2801-201224,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,65,77,cm,,g,1,0,1,UNK,51,57,45,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0014,SNS,A69-2801-201236,Acoustic,Wild,,,,"2025-08-05 00:00:00","The Spindle",514494,4948116,87,102,cm,,g,1,0,1,UNK,67,47,53,,,,,,,,,,,,NA,NA,Penobscot,
2025-SNS-0015,SNS,A69-2801-201241,Acoustic,Wild,,,,"2025-08-05 00:00:00","The Spindle",514494,4948116,95,109,cm,,g,1,0,1,UNK,71,49,61,,,,,,,,,,,,NA,NA,Penobscot,
2025-SNS-0016,SNS,A69-2801-201245,Acoustic,Wild,,,,"2025-08-05 00:00:00","The Spindle",514494,4948116,109,118,cm,,g,1,0,1,UNK,69,48,66,,,,,,,,,,,,NA,NA,Penobscot,
2025-SNS-0017,SNS,A69-2801-201239,Acoustic,Wild,,,,"2025-08-05 00:00:00","The Spindle",514494,4948116,94,108,cm,,g,1,0,1,UNK,73,50,66,,,,,,,,,,,,NA,NA,Penobscot,
2025-SNS-0018,SNS,A69-2801-201252,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,94,107,cm,,g,1,0,1,UNK,75,48,70,,,,,,,,,,,,NA,NA,Penobscot,
2025-SNS-0019,SNS,A69-2801-201251,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,85,97,cm,,g,1,0,1,UNK,63,42,53,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2006-001,SNS,1053H,Acoustic,Wild,"Carlin: 31000; Genetic ID: G-001; Photo ID: 06-001;",Sturgeon-PNR,"Penobscot River","2006-06-14 00:00:00","Penobscot River",514165,4945937,80,89,cm,4.25,kg,1,0,1,U,60,,54,,,,,,,,,,,D,212,1105,Penobscot,
SNS-2006-034,SNS,1098600,Acoustic,Wild,"Carlin: 32979; Genetic ID: G-220; Photo ID: 10-187;",Sturgeon-PNR,"Penobscot River","2006-07-06 08:20:00","Penobscot River",516667,4956844,103,116,cm,9.5,kg,1,0,1,U,78,55,64,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2006-034,SNS,1098600,Acoustic,Wild,"Carlin: 32979; Genetic ID: G-220; Photo ID: 10-187;",Sturgeon-PNR,"Penobscot River","2008-08-13 10:02:00","Penobscot River",517015,4958101,103,116,cm,9.5,kg,1,1,0,F,76,48,62,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2006-034,SNS,1098600,Acoustic,Wild,"Carlin: 32979; Genetic ID: G-220; Photo ID: 10-187;",Sturgeon-PNR,"Penobscot River","2010-10-11 11:52:00","Penobscot River",517235,4958383,102,115,cm,9.5,kg,1,1,0,LF,77,57,59,,,,,,,,,,,,NA,NA,Penobscot,
