TagID,TagType,FishID,CaptureDate,PITIDNo,AcousticSerialNo,AcousticTagFamily,AcousticCodeSpace,AcousticIDCode,Frequency,RadioCode,RadioCodeStruct,RadioBurstRate,VisualType,VisualIDNo,EstTagLife,DeathDate,SalesOrder,Customer,SensorType,CodeSpace,IDCode
1042787,Acoustic,AST-2008-004,7/2/2008 0:00,3D9.257C64C807,1042787,V13TP-1L,A69-1303,12707,69,,,,,,750,00:00.0,,,NA,,
1042788,Acoustic,AST-2008-002,7/2/2008 0:00,3D9.257C65C6EC,1042788,V13TP-1L,A69-1303,12708,69,,,,,,750,00:00.0,,,NA,,
1042789,Acoustic,AST-2008-003,7/2/2008 0:00,3D9.257C6509FF,1042789,V13TP-1L,A69-1303,12709,69,,,,,,750,00:00.0,,,NA,,
1042790,Acoustic,AST-2008-013,8/8/2008 0:00,3D9.1C2CAC227F,1042790,V13TP-1L,A69-1303,12710,69,,,,,,750,00:00.0,,,NA,,
1042797,Acoustic,AST-2008-001,6/30/2008 0:00,3D9.257C65A5A2,1042797,V13TP-1L,A69-1303,12717,69,,,,,,750,00:00.0,,,NA,,
1042798,Acoustic,AST-2008-005,7/15/2008 0:00,3D9.257C64CED7,1042798,V13TP-1L,A69-1303,12718,69,,,,,,750,00:00.0,,,NA,,
1042799,Acoustic,AST-2008-006,7/15/2008 0:00,3D9.257C651E8F,1042799,V13TP-1L,A69-1303,12719,69,,,,,,750,00:00.0,,,NA,,
1043692,Acoustic,AST-2008-014,8/8/2008 0:00,3D9.1C2CAC25F4,1043692,V13TP-1L,A69-1303,12834,69,,,,,,750,00:00.0,5947,,NA,,
1043695,Acoustic,AST-2008-011,7/30/2008 0:00,3D9.257C67737E,1043695,V13TP-1L,A69-1303,12837,69,,,,,,750,00:00.0,5947,,NA,,
1043697,Acoustic,AST-2008-012,7/30/2008 0:00,3D9.257C650A19,1043697,V13TP-1L,A69-1303,12839,69,,,,,,750,00:00.0,5947,,NA,,
1074907,Acoustic,AST-2009-001,6/16/2009 0:00,3D9.257C651A2A,1074907,V16-6X,A69-1303,58597,69,,,,,,3650,00:00.0,8262,,NA,,
1074908,Acoustic,AST-2009-007,7/3/2009 0:00,3D9.257C661811,1074908,V16-6X,A69-1303,58598,69,,,,,,3650,00:00.0,8262,,NA,,
1074909,Acoustic,AST-2009-004,6/25/2009 0:00,3D9.257C659C72,1074909,V16-6X,A69-1303,58599,69,,,,,,3650,00:00.0,8262,,NA,,
1074910,Acoustic,AST-2009-008,7/10/2009 0:00,3D9.257C64CECA,1074910,V16-6x,A69-1303,58600,69,,,,,,3650,00:00.0,8262,,NA,,
1074911,Acoustic,AST-2009-012,7/20/2009 0:00,3D9.257C650E53,1074911,V16-6x,A69-1303,58601,69,,,,,,3650,00:00.0,8262,,NA,,
1074912,Acoustic,AST-2009-016,8/2/2009 0:00,3D9.257C63E7E4,1074912,V16-6X,A69-1303,58602,69,,,,,,3650,00:00.0,8262,,NA,,
1074913,Acoustic,AST-2009-013,8/2/2009 0:00,3D9.257C65D980,1074913,V16-6X,A69-1303,58603,69,,,,,,3650,00:00.0,8262,,NA,,
1074914,Acoustic,AST-2009-018,8/4/2009 0:00,3D9.257C651233,1074914,V16-6X,A69-1303,58604,69,,,,,,3650,00:00.0,8262,,NA,,
1074915,Acoustic,AST-2009-021,8/4/2009 0:00,3D9.257C64CC4B,1074915,V16-6X,A69-1303,58605,69,,,,,,3650,00:00.0,8262,,NA,,
1074916,Acoustic,AST-2009-019,8/4/2009 0:00,3D9.257C660DA6,1074916,V16-6X,A69-1303,58606,69,,,,,,3650,00:00.0,8262,,NA,,
1074917,Acoustic,AST-2009-023,8/4/2009 0:00,3D9.257C64D5F6,1074917,V16-6X,A69-1303,58607,69,,,,,,3650,00:00.0,8262,,NA,,
1074918,Acoustic,AST-2010-001,6/7/2010 0:00,3D9.257C65C74F,1074918,V16-6X,A69-1303,58608,69,,,,,,3650,00:00.0,8262,,NA,,
1074919,Acoustic,AST-2010-003,6/9/2010 0:00,3D9.257C65D7BA,1074919,V16-6X,A69-1303,58609,69,,,,,,3650,00:00.0,8262,,NA,,
1074920,Acoustic,AST-2010-008,7/9/2010 0:00,3D9.257C661BD7,1074920,V16-6X,A69-1303,58610,69,,,,Carlin,31078,3650,00:00.0,,,NA,,
1074921,Acoustic,AST-2010-009,7/9/2010 0:00,3D9.257C650CE5,1074921,V16-6X,A69-1303,58611,69,,,,,,3650,00:00.0,8262,,NA,,
1075887,Acoustic,AST-2009-009,7/29/2010 0:00,3D9.257C65C7EB,1075887,V16-6X,A69-1303,60212,69,,,,,,1997,00:00.0,8535,,NA,,
1075896,Acoustic,AST-2010-015,8/2/2010 0:00,3D9.1C2CAC28D5,1075896,V16-6X,A69-1303,60221,69,,,,,,1997,00:00.0,8535,,NA,,
1097368,Acoustic,AST-2010-011,7/20/2010 0:00,3D9.257C65CCCB,1097368,V16-6X,A69-1303,60595,69,,,,,,1997,00:00.0,10233,,NA,,
1099507,Acoustic,AST-2011-004,6/28/2011 0:00,3D9.1C2D8D19C1,1099507,V16-6X,A69-1303,46408,69,,,,,,1997,00:00.0,10382,,NA,,
1099515,Acoustic,AST-2011-011,7/28/2011 0:00,3D9.1C2D7EB620,1099515,V16-6X,A69-1303,46416,69,,,,,,1997,00:00.0,10382,,NA,,
1168206,Acoustic,AST-2014-003,9/1/2014 0:00,3D9.1BF1886273,1168206,V16-6X,A69-9001,26999,69,,,,,,2298,00:00.0,15661,,NA,,
1268731,Acoustic,AST-2017-004,8/23/2017 0:00,3DD.003BEF36D6,1268731,V16-4x,A69-9001,14216,69,,,,,,3650,00:00.0,23212,UMaine,NA,,
