TagID,TagType,FishID,CaptureDate,PITIDNo,AcousticSerialNo,AcousticTagFamily,AcousticCodeSpace,AcousticIDCode,Frequency,RadioCode,RadioCodeStruct,RadioBurstRate,VisualType,VisualIDNo,EstTagLife,DeathDate,SalesOrder,Customer,SensorType,CodeSpace,IDCode
1039844,Acoustic,SNS-2007-021,5/30/2007 9:35,3D9.257C655551,1039844,V13TP-1H,A69-1303,12427,69,,,,,,250,00:00.0,,,NA,,
1039845,Acoustic,SNS-2007-015,5/29/2007 12:30,3D9.257C65F685,1039845,V13TP-1H,A69-1303,12428,69,,,,,,250,00:00.0,,,NA,,
1039846,Acoustic,SNS-2007-012,5/29/2007 9:55,3D9.257C65C342,1039846,V13TP-1H,A69-1303,12429,69,,,,,,250,00:00.0,,,NA,,
1039847,Acoustic,SNS-2007-014,5/29/2007 12:30,3D9.257C63D039,1039847,V13TP-1H,A69-1303,12430,69,,,,,,250,00:00.0,,,NA,,
1039848,Acoustic,SNS-2007-007,5/28/2007 9:54,3D9.257C65FC3B,1039848,V13TP-1H,A69-1303,12431,69,,,,,,250,00:00.0,,,NA,,
1039849,Acoustic,SNS-2007-006,5/28/2007 8:57,3D9.257C65F73E,1039849,V13TP-1H,A69-1303,12432,69,,,,,,250,00:00.0,,,NA,,
1042786,Acoustic,SNS-2008-008,7/18/2008 13:14,3D9.257C65C5A8,1042786,V13TP-1L,A69-1303,12706,69,,,,,,750,00:00.0,,,NA,,
1042791,Acoustic,SNS-2008-013,8/8/2008 17:54,3D9.1C2CD4614E,1042791,V13TP-1L,A69-1303,12711,69,,,,,,750,00:00.0,,,NA,,
1042792,Acoustic,SNS-2008-002,7/2/2008 13:55,3D9.257C6598D0,1042792,V13TP-1L,A69-1303,12712,69,,,,,,750,00:00.0,,,NA,,
1042793,Acoustic,SNS-2008-001,7/2/2008 14:18,3D9.257C65117D,1042793,V13TP-1L,A69-1303,12713,69,,,,,,750,00:00.0,,,NA,,
1042794,Acoustic,SNS-2008-003,7/15/2008 15:00,3D9.257C6618F4,1042794,V13TP-1L,A69-1303,12714,69,,,,,,750,00:00.0,,,NA,,
1042795,Acoustic,SNS-2007-029,7/15/2008 15:00,3D9.257C652392,1042795,V13TP-1L,A69-1303,12715,69,,,,,,750,00:00.0,,,NA,,
1042796,Acoustic,SNS-2008-006,7/15/2008 15:00,3D9.257C6597D7,1042796,V13TP-1L,A69-1303,12716,69,,,,,,750,00:00.0,,,NA,,
1042800,Acoustic,SNS-2008-005,7/15/2008 15:00,3D9.257C65C4D1,1042800,V13TP-1L,A69-1303,12720,69,,,,,,750,00:00.0,,,NA,,
1043679,Acoustic,SNS-2007-047,9/22/2009 15:37,3D9.257C63EBCF,1043679,V13TP-1L,A69-1303,12817,69,,,,,,750,00:00.0,5930,,NA,,
1043680,Acoustic,SNS-2007-088,11/2/2007 13:18,3D9.257C652136,1043680,V13TP-1L,A69-1303,12818,69,,,,,,750,00:00.0,5930,,NA,,
1043681,Acoustic,SNS-2007-087,11/2/2007 13:18,3D9.257C6510ED,1043681,V13TP-1L,A69-1303,12819,69,,,,,,750,00:00.0,5930,,NA,,
1043682,Acoustic,SNS-2007-089,11/2/2007 15:00,3D9.257C65AB40,1043682,V13TP-1L,A69-1303,12820,69,,,,,,750,00:00.0,5930,,NA,,
1043683,Acoustic,SNS-2007-069,9/26/2007 11:35,3D9.257C650B3E,1043683,V13TP-1L,A69-1303,12821,69,,,,,,750,00:00.0,5930,,NA,,
1043684,Acoustic,SNS-2007-079,9/27/2007 8:55,3D9.257C659762,1043684,V13TP-1L,A69-1303,12822,69,,,,,,750,00:00.0,5930,,NA,,
1043685,Acoustic,SNS-2007-080,9/27/2007 9:56,3D9.257C65146D,1043685,V13TP-1L,A69-1303,12823,69,,,,,,750,00:00.0,5930,,NA,,
1043686,Acoustic,SNS-2009-060,9/22/2009 15:37,3D9.257C6511C2,1043686,V13TP-1L,A69-1303,12824,69,,,,,,750,00:00.0,5930,,NA,,
1043687,Acoustic,SNS-2007-078,9/27/2007 7:48,3D9.257C64D4E3,1043687,V13TP-1L,A69-1303,12825,69,,,,,,750,00:00.0,5930,,NA,,
1043689,Acoustic,SNS-2007-068,9/25/2007 13:11,3D9.257C6514C5,1043689,V13TP-1L,A69-1303,12831,69,,,,,,750,00:00.0,5947,,NA,,
1043690,Acoustic,SNS-2008-061,8/25/2008 16:00,3D9.1C2CD486FC,1043690,V13TP-1L,A69-1303,12832,69,,,,,,750,00:00.0,5947,,NA,,
1043691,Acoustic,SNS-2008-007,7/15/2008 15:00,3D9.257C65996E,1043691,V13TP-1L,A69-1303,12833,69,,,,,,750,00:00.0,5947,,NA,,
1043693,Acoustic,SNS-2008-024,8/13/2008 9:25,3D9.1C2CABB48F,1043693,V13TP-1L,A69-1303,12835,69,,,,,,750,00:00.0,5947,,NA,,
1043694,Acoustic,SNS-2008-015,8/11/2008 9:22,3D9.1C2CD48294,1043694,V13TP-1L,A69-1303,12836,69,,,,,,750,00:00.0,5947,,NA,,
1043696,Acoustic,SNS-2008-016,8/11/2008 9:22,3D9.1C2CD48026,1043696,V13TP-1L,A69-1303,12838,69,,,,,,750,00:00.0,5947,,NA,,
1043698,Acoustic,SNS-2008-004,7/15/2008 15:00,3D9.257C65C8B9,1043698,V13TP-1L,A69-1303,12840,69,,,,,,750,00:00.0,5947,,NA,,
1044640,Acoustic,SNS-2007-003,5/25/2007 12:11,3D9.257C65BCE3,1044640,V13TP-1H,A69-1303,12645,69,,,,,,250,00:00.0,,,NA,,
