"","FishID","Species","TagID","TagType","Origin","FishIDs","ProjectID","ReleaseSite","CaptureDate","CaptureLocation","Easting","Northing","ForkLength","TotalLength","LengthUnit","Mass","MassUnit","Alive","Recapture","InitialRelease","Sex","Interorbital","InsideMouth","OutsideMouth","DorsalScore","CaudalScore","FinClipObs","Surgeon","VIE","DevelopmentalStage","StockingMark1","StockingMark2","FinClip","ScaleSample","SensorType","SensorIDCode","SensorCodeSpace","System","Notes"
"1","2025-AST-0001","AST","A69-2801-201133","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,138,158,"cm",NA,"g",1,0,1,"UNK",102,33,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"2","2025-AST-0002","AST","A69-2801-201127","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,156,179,"cm",NA,"g",1,0,1,"UNK",138,61,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"3","2025-AST-0003","AST","A69-2801-201134","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,116,179,"cm",NA,"g",1,0,1,"UNK",138,41,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"4","2025-AST-0004","AST","A69-2801-201128","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,174,194,"cm",NA,"g",1,0,1,"UNK",NA,53,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"5","2025-AST-0005","AST","A69-2801-201131","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,156,177,"cm",NA,"g",1,0,1,"UNK",127,56,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"6","2025-AST-0006","AST","A69-2801-201130","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,134,149,"cm",NA,"g",1,0,1,"UNK",110,48,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"7","2025-AST-0007","AST","A69-2801-201132","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,149,173,"cm",NA,"g",1,0,1,"UNK",127,46,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"8","2025-AST-0008","AST","A69-2801-201212","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,147,170,"cm",NA,"g",1,0,1,"M",117,50,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec","Milt"
"9","2025-AST-0009","AST","A69-2801-201215","Acoustic","Wild","","","",2025-07-29,"Gardiner",438716,4899033,143,166,"cm",NA,"g",1,0,1,"M",117,55,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec","Milt"
"10","2025-AST-0010","AST","A69-2801-201246","Acoustic","Wild","","","",2025-08-05,"The Spindle",514494,4948116,94,113,"cm",NA,"g",1,0,1,"UNK",77,37,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"11","2025-AST-0011","AST","A69-2801-201243","Acoustic","Wild","","","",2025-08-05,"The Spindle",514494,4948116,87,101,"cm",NA,"g",1,0,1,"UNK",63,33,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"12","2025-AST-0012","AST","A69-2801-201242","Acoustic","Wild","","","",2025-08-05,"The Spindle",514494,4948116,90,108,"cm",NA,"g",1,0,1,"UNK",71,36,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot","RIGHT PECTORAL WOUND"
"13","2025-AST-0013","AST","A69-2801-201229","Acoustic","Wild","","","",2025-08-05,"The Spindle",514494,4948116,159,185,"cm",NA,"g",1,0,1,"UNK",120,59,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"14","2025-AST-0014","AST","A69-2801-201233","Acoustic","Wild","","","",2025-08-05,"The Spindle",514494,4948116,90,105,"cm",NA,"g",1,0,1,"UNK",73,39,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"15","2025-AST-0015","AST","A69-2801-201240","Acoustic","Wild","","","",2025-08-05,"The Spindle",514494,4948116,85,103,"cm",NA,"g",1,0,1,"UNK",79,34,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"16","2025-AST-0016","AST","A69-2801-201235","Acoustic","Wild","","","",2025-08-17,"The Spindle",514494,4948116,109,125,"cm",NA,"g",1,0,1,"UNK",91,48,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"17","2025-AST-0017","AST","A69-2801-201230","Acoustic","Wild","","","",2025-08-17,"The Spindle",514494,4948116,109,114,"cm",NA,"g",1,0,1,"UNK",80,43,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"18","2025-AST-0018","AST","A69-2801-201231","Acoustic","Wild","","","",2025-08-17,"The Spindle",514494,4948116,103,123,"cm",NA,"g",1,0,1,"UNK",85,43,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"19","2025-AST-0019","AST","A69-2801-201226","Acoustic","Wild","","","",2025-08-17,"The Spindle",514494,4948116,95,112,"cm",NA,"g",1,0,1,"UNK",75,34,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"20","2025-AST-0020","AST","A69-2801-201238","Acoustic","Wild","","","",2025-08-17,"The Spindle",514494,4948116,130,152,"cm",NA,"g",1,0,1,"UNK",113,49,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"21","2025-AST-0021","AST","A69-2801-201237","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,115,130,"cm",NA,"g",1,0,1,"UNK",93,41,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"22","2025-AST-0022","AST","A69-2801-201248","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,102,116,"cm",NA,"g",1,0,1,"UNK",81,41,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"23","2025-AST-0023","AST","A69-2801-201253","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,109,120,"cm",NA,"g",1,0,1,"UNK",92,42,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"24","2025-AST-0024","AST","A69-2801-201250","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,120,143,"cm",NA,"g",1,0,1,"UNK",96,48,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"25","AST-2007-025","AST","A69-2801-201228","Acoustic","Wild","Carlin: 31449; Genetic ID: G-154; Photo ID: 07-088;","Sturgeon-PNR","Penobscot River",2025-07-29,"Gardiner",438716,4899033,197,225,"cm",NA,"g",1,1,0,"UNK",NA,74,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"26","AST-2017-001","AST","1268734","Acoustic","Wild","FLOY: 53399; Genetic ID: G-1501; Photo ID: 17-032;","Sturgeon-PNR","Penobscot River",2017-07-14,"Penobscot",514534,4947641,140,170,"cm",21.3,"kg",1,0,1,"U",110,51,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"27","AST-2017-002","AST","1268735","Acoustic","Wild","FLOY: 53400; Genetic ID: G-1502; Photo ID: 17-033;","Sturgeon-PNR","Penobscot River",2017-07-14,"Penobscot",514534,4947641,148,171,"cm",25.3,"kg",1,0,1,"U",114,55,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"28","AST-2017-004","AST","1268731","Acoustic","Wild","FLOY: 53317; Genetic ID: G-1517; Photo ID: 17-052;","Sturgeon-PNR","Penobscot River",2017-08-23,"Penobscot",512995,4949601,90,107,"cm",6.6,"kg",1,0,1,"TT",69,39,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
