Event,Species,Rearing_Origin,Stage,System,Encounter_Time_zone,Encounter_Timestamp,Encounter_Location,Encounter_Easting,Encounter_Northing,Encounter_UTMZone,Encounter_Disposition,Release_Status,Release_Timezone,Release_Timestamp,Release_Location,Release_Easting,Release_Northing,TagType,TagManufacturer,TagModel,TagSerialNumber,EstTagLife,Acoustic_ID,Acoustic_Sensor_type,Acoustic_ Sensor_idcode,Acoustic_Sensor_value,PIT_ID,Radio_ID,Radio_Freq,Radio_BurstRate,External_TagID,Mark Observed,Mark Applied,VIE,ForkLength (cm),TotalLength (cm),Mass (g),Sex,STRG_Interorbital(mm),STRG_InsideMouth(mm),STRG_OutsideMouth(mm),Notes,Operator(s)
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,Radio,Lotek,MCFT2-3A,MC053082,848,,,,,,38,152.01,3,,None,AP,None ,73,,,F,,,,DMR # 006,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,Acoustic,Innovasea,V13-1x-BLU-1,1601703,344,A69-1604-39118,,,,,,,,,None,AP,None ,73,,,F,,,,DMR # 006,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,PIT,,,,,,,,,3D6.00154F6008,,,,,None,AP,None ,73,,,F,,,,DMR # 006,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,Radio,Lotek,MCFT2-3A,MC054499,848,,,,,,114,152.01,3,,None,AP,None ,75,,,F,,,,DMR # 007,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,Acoustic,Innovasea,V13-1x-BLU-1,1639566,340,A69-2801-20381,,,,,,,,,None,AP,None ,75,,,F,,,,DMR # 007,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,PIT,,,,,,,,,3D6.00154F66BB,,,,,None,AP,None ,75,,,F,,,,DMR # 007,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,Radio,Lotek,MCFT2-3A,MC053113,848,,,,,,69,152.01,3,,None,AP,None ,76,,,F,,,,DMR # 008,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,Acoustic,Innovasea,V13-1x-BLU-1,1601669,344,A69-1604-39084,,,,,,,,,None,AP,None ,76,,,F,,,,DMR # 008,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/17/2025 0:00,Milford Dam,528006,4976602,PIT,,,,,,,,,3D6.001805F8A9,,,,,None,AP,None ,76,,,F,,,,DMR # 008,RH
Initial capture,ATS,Wild ,Adult,Penobscot,Eastern,5/18/2025 0:00,Milford Dam,528006,4976602,19,Live,Yes,Eastern,5/18/2025 0:00,Milford Dam,528006,4976602,Radio,Lotek,MCFT3-L-TPA-L,MT005283,861,,,,,,81,151.85,3,,None,AP,None,76,,,M,,,,DMR # 010 TPA Logger,RH
