Fish #,Species,PIT #,V16 Short,Clip #,FL,TL,Interorbital,Inside Mouth,Outside Mouth,Recap,Notes,,PIT CODE,V16 CODE Full,M/O Ratio,Determined Species,Sex,,Date,River ,Site,Easting,Northing,Notes
1,AST,1,201133,1,138,158,102,33.7,61,N,,,3DD.003E185F8C,A69-2801-201133,0.330392157,AST,U,,7/29/2025,Kennebec,Gardiner,438716,4899033,
2,AST,2,201127,2,156,179,138,61,101,N,,,3DD.003E185F8D,A69-2801-201127,0.442028986,AST,U,,,,,,,
3,AST,3,201134,3,116,179,138,41.6,71.3,N,,,3DD.003E185F93,A69-2801-201134,0.301449275,AST,U,,,,,,,
4,AST,4,201128,4,174.2,194.7,,53,87,N,,,3DD.003E185F8F,A69-2801-201128,,UKN,U,,,,,,,
5,AST,R,201228,5,197,225,,74.5,102.6,Y,UMAINE RECAPTURE,,3D9.257C65BA2C,A69-2801-201228,,UKN,U,,,,,,,
6,AST,6,201131,6,156.3,177.9,127.37,56.91,89.37,N,Stayed at surface post release,,3DD.003E185F77,A69-2801-201131,0.446808511,AST,U,,,,,,,
7,AST,7,201130,7,134,149.5,110.5,48.8,75.1,N,,,3DD.003E185F76,A69-2801-201130,0.441628959,AST,U,,,,,,,
8,AST,8,201132,8,149.3,173.1,127.6,46.98,71.95,N,,,3DD.003E185F92,A69-2801-201132,0.368181818,AST,U,,,,,,,
9,AST,9,201212,9,147,170,117.37,50.15,71.64,N,Milt,,3DD.003E185F95,A69-2801-201212,0.427281247,AST,M,,,,,,,
10,AST,10,201215,10,143.4,166,117.2,55.6,71.2,N,Milt,,3DD.003E185F86,A69-2801-201215,0.47440273,AST,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
