Species,System,PIT,Acoustic,SizeClass,ForkLength,TotalLength
AST,Kennebec,3DD.003E185F8C,A69-2801-201133,adult,138,158
AST,Kennebec,3DD.003E185F8D,A69-2801-201127,adult,156,179
AST,Kennebec,3DD.003E185F93,A69-2801-201134,sub-adult,116,179
AST,Kennebec,3DD.003E185F8F,A69-2801-201128,adult,174.2,194.7
AST,Kennebec,3D9.257C65BA2C,A69-2801-201228,adult,197,225
AST,Kennebec,3DD.003E185F77,A69-2801-201131,adult,156.3,177.9
AST,Kennebec,3DD.003E185F76,A69-2801-201130,adult,134,149.5
AST,Kennebec,3DD.003E185F92,A69-2801-201132,adult,149.3,173.1
AST,Kennebec,3DD.003E185F95,A69-2801-201212,adult,147,170
AST,Kennebec,3DD.003E185F86,A69-2801-201215,adult,143.4,166
SNS,Kennebec,3DD.003E185F7F,A69-2801-201219,adult,73.1,88.2
SNS,Kennebec,3DD.003E185F94,A69-2801-201218,adult,68.9,82.8
SNS,Kennebec,3DD.003E185F74,A69-2801-201216,adult,65.6,76.6
SNS,Kennebec,3DD.003E185F91,A69-2801-201221,adult,75.8,86.2
SNS,Kennebec,3DD.003E185F90,A69-2801-201220,adult,65.2,77.1
SNS,Kennebec,3DD.003E185F78,A69-2801-201129,adult,74,84.8
SNS,Kennebec,3DD.003E185F87,A69-2801-201223,adult,65.8,76.8
SNS,Kennebec,3DD.003E185F6C,A69-2801-201222,adult,70.6,82.6
SNS,Kennebec,3DD.003E185F89,A69-2801-201217,adult,68.2,82.6
SNS,Kennebec,3DD.003E185F8E,A69-2801-201214,sub-adult,58.8,70.4
SNS,Kennebec,3DD.003E185F88,A69-2801-201213,sub-adult,59,69.6
SNS,Kennebec,3DD.003E185F85,A69-2801-201225,adult,63.4,75.2
SNS,Kennebec,3DD.003E185F68,A69-2801-201224,adult,65.4,77
SNS,Kennebec,3DD.003E185F69,NA,adult,61.4,72.3
SNS,Penobscot,3DD.003BEF3671,A69-2801-201244,adult,91.1,105
SNS,Penobscot,3DD.003E185F7B,A69-2801-201236,adult,87.3,102.4
SNS,Penobscot,3DD.003E185F82,A69-2801-201241,adult,95,109.7
SNS,Penobscot,3DD.003E185F6E,A69-2801-201245,adult,109.2,118
AST,Penobscot,3DD.003E185F8B,A69-2801-201246,juvenile,94.4,113.2
AST,Penobscot,3DD.003E185F8A,A69-2801-201243,juvenile,87,101.4
AST,Penobscot,3DD.003E185F7C,A69-2801-201242,juvenile,90.4,108.6
SNS,Penobscot,3D9.1C2D7E000E,A69-2801-201247,adult,90.3,104.8
SNS,Penobscot,3D9.1C2D6CC918,A69-2801-201232,adult,89,100.4
SNS,Penobscot,3DD.003D99263F,A69-2801-201234,adult,86.8,101
AST,Penobscot,3DD.003E185F81,A69-2801-201229,adult,159.2,185.3
AST,Penobscot,3DD.003E185F6F,NA,juvenile,79.8,90.6
AST,Penobscot,3DD.003E185F7A,A69-2801-201233,juvenile,90,105.8
SNS,Penobscot,3DD.003E185F66,A69-2801-201239,adult,94.8,108.8
AST,Penobscot,3DD.003E185F83,A69-2801-201240,juvenile,85.6,103
AST,Penobscot,3DD.003E185F6D,A69-2801-201235,sub-adult,109,125
AST,Penobscot,3DD.003E185F6B,A69-2801-201230,sub-adult,109,114
AST,Penobscot,3DD.003E185F73,A69-2801-201231,sub-adult,103,123
AST,Penobscot,3DD.003E185F71,NA,juvenile,93,105.8
AST,Penobscot,3DD.003E185F5F,NA,juvenile,84.2,100.2
AST,Penobscot,3DD.003E185F58,A69-2801-201226,juvenile,95,112
AST,Penobscot,3DD.003E185F48,NA,juvenile,90,107
AST,Penobscot,3DD.003E185F61,NA,juvenile,83,99.4
AST,Penobscot,3DD.003E185F53,A69-2801-201238,sub-adult,130,152
SNS,Penobscot,3DD.003E185F84,A69-2801-201252,adult,94.6,107.6
SNS,Penobscot,3DD.003E185F67,A69-2801-201251,adult,85.4,97
SNS,Penobscot,3DD.003BEF3727,A69-2801-201227,adult,96,114.6
AST,Penobscot,3DD.003E185F64,A69-2801-201237,sub-adult,115.4,130.8
AST,Penobscot,3D9.1BF14AF288,A69-2801-201249,adult,176.2,210
AST,Penobscot,3DD.003E185F5A,A69-2801-201248,sub-adult,102.6,116.8
AST,Penobscot,3DD.003E185F39,A69-2801-201253,sub-adult,109.4,120.2
AST,Penobscot,3DD.003E185F57,A69-2801-201250,sub-adult,120,143.1
AST,Penobscot,3DD.003E185F56,NA,juvenile,92.2,108.8
AST,Penobscot,3DD.003E185F79,NA,juvenile,97.8,105.2
AST,Penobscot,3DD.003E185F5D,NA,sub-adult,100.4,120
AST,Penobscot,3DD.003E185F4E,NA,juvenile,88,103
AST,Penobscot,3DD.003E185F46,NA,juvenile,93.6,109.2
AST,Penobscot,3DD.003E185F80,NA,juvenile,88.8,104.4
AST,Penobscot,3DD.003E185F71,NA,juvenile,90.4,104.6
