"","Species","Recap (y/n)","TL (cm)","FL (cm)","Mass (kg)","Depth (in)","I-orb. (mm)","Inside Mouth (mm)","Outside Mouth (mm)","inner mouth/ I-orb","Sex (M/F)","Ripe (Y/N)","Mort. (Y/N)","Photo ID","gen. ID","PIT ID","Carlin ID","Coded Serial #","Coded Type","Code","Cont. Serial #","Cont. Type","Cont. Freq.","Cont. Channel","Radio Tag No.","Radio Tag Freq.","Name","Mesh Size (inches)","Length (yards)","Set Date & Time","Pull Date & Time","US Depth (feet)","DS Depth (feet)","Average Depth (feet)","Set Temp.","Pull Temp.","D.O. (ppm)","Bottom Temp.","US Northing","US Easting","DS Northing","DS Easting","US LAT","US LONG","DS LAT","DS LONG","Location","Soak Time (hrs)","Comments"
"1","Shortnose Sturgeon","N",89.9,80,"4.25",,60,,"54",,"U","N","N","06-001","G-001","4602510E1C",31000,"1053H","V13","212","1071H","V16",,,,,"Jim",6,50,2006-06-14 12:59:00,2006-06-14 15:10:00,19.9,24,21.95,18,18,,,4945937,514165,4945891,514086,,,,,"Shortnose Cove site 1",2.18333333329065,"""SNS-1"" Necropsy ID"
"2","Shortnose Sturgeon","N",84.2,70,"2.5",,52,,"48",,"U","N","N","06-003","G-003","457B777A75",31002,"1054H","V13","213","1070H","V16",,,,,"Alice",6,100,2006-06-16 07:13:00,2006-06-16 10:06:00,18.3,36.8,27.55,18.8,19,,,4945937,514165,4945891,514086,,,,,"Shortnose Cove site 1",2.88333333330229,
"3","Shortnose Sturgeon","N",82.9,71,"2.25",,51,,"42",,"U","N","N","06-002","G-002","46016B5605",31001,"1056H","V13","215","1072H","V16",,,,,"Francis",6,100,2006-06-16 07:13:00,2006-06-16 10:06:00,18.3,36.8,27.55,18.8,19,,,4945937,514165,4945891,514086,,,,,"Shortnose Cove site 1",2.88333333330229,
"4","Shortnose Sturgeon","N",97,,"4.25",,67,,"60",,"U","N","N","06-004","G-004","457C055A44",31003,"1050H","V13","209","1074H","V16",,,,,"Martha",6,50,2006-06-16 09:20:00,2006-06-16 18:35:00,12.3,11.9,12.1,17.5,,,,4938871,512019,4938909,512057,,,,,"Marsh Stream confl. (bottom)",9.24999999994179,
"5","Shortnose Sturgeon","N",77.4,70,"2.5",,52,,"49",,"U","N","N","06-005","G-005","4601782955",31004,"1051H","V13","210","1073H","V16",,,,,"Melvin",6,100,2006-06-16 19:37:00,2006-06-17 06:35:00,9,8.4,8.7,,,,,4945937,514165,4945891,514086,,,,,"Shortnose Cove site 1",10.9666666666162,
"6","Shortnose Sturgeon","N",92.8,79.2,"5",,62,,"52",,"U","N","N","06-029","G-029","457C420C73",31025,"5162G","V9","25","3064H","V16",,,,,"Henry",6,50,2006-06-28 06:12:00,2006-06-28 08:21:00,18.1,16.6,17.35,22,23.1,,,4945696,513874,,,,,,,"Shortnose Cove site 2",2.15000000002328,
"7","Shortnose Sturgeon","N",104.8,92.8,"7",,62,,"59",,"F","N","N","06-030","G-030","4602077B47",31026,"1055H","V13","214","3061H","V16",,,,,"Mary",6,50,2006-06-28 06:12:00,2006-06-28 08:21:00,18.1,16.6,17.35,22,23.1,,,4945696,513874,,,,,,,"Shortnose Cove site 2",2.15000000002328,"eggs inside body cavity"
"8","Shortnose Sturgeon","N",100.6,84.8,"6",,65,,"52",,"U","N","N","06-027","G-027","46022E0800",31023,"5213G","V9","13","3063H","V16",,,,,"Jerry",6,50,2006-06-28 06:12:00,2006-06-28 08:21:00,18.1,16.6,17.35,22,23.1,,,4945696,513874,,,,,,,"Shortnose Cove site 2",2.15000000002328,
"9","Shortnose Sturgeon","N",95.2,82,"4.75",,64,,"55",,"U","N","N","06-028","G-028","4602380A33",31024,"5215G","V9","15","3062H","V16",,,,,"Phillip",6,50,2006-06-28 06:12:00,2006-06-28 08:21:00,18.1,16.6,17.35,22,23.1,,,4945696,513874,,,,,,,"Shortnose Cove site 2",2.15000000002328,
"10","Shortnose Sturgeon","N",84.2,72.2,"2.75",,50,,"45",,"U","N","N","06-031","G-031","457C0F4A0A",31027,"5214G","V9","14","3065H","V16",,,,,"Buddy",6,100,2006-06-28 04:45:00,2006-06-28 08:29:00,18.8,22.4,20.6,22,22,,,4945696,513874,,,,,,,"Shortnose Cove site 2",3.73333333345363,
