Serial_N,V16.CODE.Full
1645258,A69-2801-201212
1645259,A69-2801-201213
1645260,A69-2801-201214
1645261,A69-2801-201215
1645262,A69-2801-201216
1645263,A69-2801-201217
1645264,A69-2801-201218
1645265,A69-2801-201219
1645266,A69-2801-201220
1645267,A69-2801-201221
1645268,A69-2801-201222
1645269,A69-2801-201223
1645270,A69-2801-201224
1645271,A69-2801-201225
1645272,A69-2801-201226
1645273,A69-2801-201227
1645274,A69-2801-201228
1645275,A69-2801-201229
1645276,A69-2801-201230
1645277,A69-2801-201231
1645278,A69-2801-201232
1645279,A69-2801-201233
1645280,A69-2801-201234
1645281,A69-2801-201235
1645282,A69-2801-201236
1645283,A69-2801-201237
1645284,A69-2801-201238
1645285,A69-2801-201239
1645286,A69-2801-201240
1645287,A69-2801-201241
1645288,A69-2801-201242
1645289,A69-2801-201243
1645290,A69-2801-201244
1645291,A69-2801-201245
1645292,A69-2801-201246
1645293,A69-2801-201247
1645294,A69-2801-201248
1645295,A69-2801-201249
1645296,A69-2801-201250
1645297,A69-2801-201251
1645298,A69-2801-201252
1645299,A69-2801-201253
1638355,A69-2801-201127
1638356,A69-2801-201128
1638357,A69-2801-201129
1638358,A69-2801-201130
1638359,A69-2801-201131
1638360,A69-2801-201132
1638361,A69-2801-201133
1638362,A69-2801-201134
