Fish #,Species,PIT #,V16 Short,Clip #,FL,TL,Interorbital,Inside Mouth,Outside Mouth,Recap,Notes,,PIT CODE,V16 CODE Full,M/O Ratio,Determined Species,Sex,,Date,River ,Site,Easting,Northing,Notes
40,AST,37,201235,41,109,125,91.4,48.2,68.4,N,,,3DD.003E185F6D,A69-2801-201235,0.527352298,AST,U,,8/17/2025,Penobscot,The Spindle,514494,4948116,
41,AST,38,201230,42,1,114,80,43,59,N,,,3DD.003E185F6B,A69-2801-201230,0.5375,AST,,,,,,,,
42,AST,39,201231,43,103,123,85,43,64,N,,,3DD.003E185F73,A69-2801-201231,0.505882353,AST,,,,,,,,
43,AST,40,,44,93,105.8,76,36.4,55.4,N,,,3DD.003E185F71,,0.478947368,AST,,,,,,,,
44,AST,41,,45,84.2,100.2,65,30.5,46.7,N,,,3DD.003E185F5F,,0.469230769,AST,,,,,,,,
45,AST,42,201226,46,95,112,75,34.8,56.4,N,,,3DD.003E185F58,A69-2801-201226,0.464,AST,,,,,,,,
46,AST,43,,47,90,107,76,32.2,50.3,N,,,3DD.003E185F48,,0.423684211,AST,,,,,,,,
47,AST,44,,48,83,99.4,65.6,27.8,46,N,,,3DD.003E185F61,,0.423780488,AST,,,,,,,,
48,AST,45,201238,49,130,152,113,49,74,N,,,3DD.003E185F53,A69-2801-201238,0.433628319,AST,,,,,,,,
49,SNS,46,201252,50,94.6,107.6,75,48,70,N,,,3DD.003E185F84,A69-2801-201252,0.64,SNS,,,,,,,,
50,SNS,46,201251,51,85.4,97,63.1,42.8,53.5,N,,,3DD.003E185F84,A69-2801-201251,0.678288431,SNS,,,,,,,,
51,SNS,R,201227,52,96,114.6,66.5,50.4,69.2,N,UMAINE RECAP,,3DD.003BEF3727,A69-2801-201227,0.757894737,SNS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
