"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638361,"2560","A69-2801-201133",,,,,,,,,"None","None","None",138,158,,,102,33.7,61,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638355,"2560","A69-2801-201127",,,,,,,,,"None","None","None",156,179,,,138,61,101,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638362,"2560","A69-2801-201134",,,,,,,,,"None","None","None",116,179,,,138,41.6,71.3,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638356,"2560","A69-2801-201128",,,,,,,,,"None","None","None",174.2,194.7,,,,53,87,,"JZ,SE"
"Recapture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1645274,"2560","A69-2801-201228",,,,,,,,,"None","None","None",197,225,,,,74.5,102.6,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638359,"2560","A69-2801-201131",,,,,,,,,"None","None","None",156.3,177.9,,,127.37,56.91,89.37,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638358,"2560","A69-2801-201130",,,,,,,,,"None","None","None",134,149.5,,,110.5,48.8,75.1,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1638360,"2560","A69-2801-201132",,,,,,,,,"None","None","None",149.3,173.1,,,127.6,46.98,71.95,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1645258,"2560","A69-2801-201212",,,,,,,,,"None","None","None",147,170,,"M",117.37,50.15,71.64,"Milt","JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"Acoustic","Innovosea","V16-4x-BLU-1",1645261,"2560","A69-2801-201215",,,,,,,,,"None","None","None",143.4,166,,"M",117.2,55.6,71.2,"Milt","JZ,SE"
